time,H0_median,H0_lower,H0_upper
0,0.0011332652,0.0,0.0034173196
1,0.0056759287,0.0011365112,0.011396529
2,0.012602948,0.0056927013,0.020737635
3,0.014955171,0.0069425628,0.024159476
4,0.023277275,0.013850945,0.03418411
5,0.029384041,0.018596215,0.041765317
6,0.036813907,0.024682345,0.050609853
7,0.040623147,0.0282074,0.055265963
8,0.043145675,0.029819475,0.05837891
9,0.04700366,0.03333602,0.06284101
10,0.055021696,0.039721385,0.07204453
11,0.060440816,0.04402847,0.07863582
12,0.06742875,0.050251834,0.08691849
13,0.07601313,0.058224183,0.0967261
14,0.08043271,0.061786763,0.10174214
15,0.0892678,0.069470495,0.111505724
16,0.093870535,0.07353952,0.11693655
17,0.101737365,0.08005599,0.12538834
18,0.10333631,0.08110496,0.12723318
19,0.10505457,0.08298065,0.12933904
20,0.10839341,0.08574506,0.13325714
21,0.11011003,0.08721132,0.13523927
22,0.116750106,0.093476854,0.14255264
23,0.12204254,0.0978578,0.14881419
24,0.12384029,0.0993837,0.15024723
25,0.13337469,0.10713856,0.16167453
26,0.1371329,0.11093596,0.16604592
27,0.13904524,0.11225331,0.16806903
29,0.14697856,0.119586505,0.17664228
30,0.15294485,0.124933146,0.18303105
31,0.15724346,0.12839396,0.18850702
32,0.16350143,0.13418664,0.19559582
34,0.1724971,0.14233908,0.20604819
36,0.18163295,0.15076196,0.21613736
37,0.18416855,0.15297171,0.21892601
38,0.18672025,0.15468717,0.2220189
40,0.19442758,0.16217397,0.23141547
44,0.19982025,0.16696441,0.2367784
45,0.20269096,0.16947395,0.24065258
46,0.21399656,0.17927656,0.2535642
47,0.21710879,0.18188497,0.25642
48,0.2201454,0.18486822,0.26035893
49,0.22662795,0.19057418,0.2673105
53,0.22960618,0.19363976,0.27126703
55,0.23320597,0.19658917,0.27599415
57,0.24076942,0.20249896,0.28534874
58,0.24471794,0.20590578,0.2896694
60,0.24861905,0.2091781,0.2943118
61,0.25280958,0.21242188,0.29864624
68,0.2573043,0.2157397,0.30500707
69,0.26831967,0.22576493,0.31776017
83,0.2748574,0.23125903,0.32707328
94,0.2836035,0.23675317,0.33780318
96,0.29294872,0.24491161,0.3525748
105,0.3061201,0.2521023,0.37264332
122,0.33293387,0.26681173,0.4299868
