time,H0_median,H0_lower,H0_upper
0,2.7491464e-15,0.0,1.07243895e-05
1,1.3754769e-14,2.7359655e-15,5.000136e-05
2,3.2989758e-14,9.168842e-15,0.00017273861
3,1.9397237e-05,1.5130182e-14,0.00030398768
4,8.224088e-05,1.8590366e-05,0.00079739327
5,0.00012753517,3.8711183e-05,0.0016846753
6,0.0006151311,0.00015183135,0.0032711693
7,0.00079199136,0.00025416765,0.0037763873
8,0.0013197629,0.00041154146,0.0043095183
9,0.0020785155,0.00084182486,0.0051643895
10,0.0036687867,0.00181086,0.0071657356
11,0.004781667,0.002618604,0.008565785
12,0.006465884,0.003953028,0.010464663
13,0.009205662,0.0059246835,0.013941833
14,0.010691746,0.007306657,0.015790464
15,0.014330408,0.009721517,0.020242352
16,0.016278327,0.011487937,0.022255564
17,0.02000155,0.014685723,0.026596522
18,0.020868022,0.015271309,0.02788239
19,0.021765675,0.01582798,0.02926768
20,0.023499288,0.017564546,0.030695211
21,0.024499543,0.018271642,0.031966057
22,0.028489705,0.02113443,0.03698809
23,0.03175109,0.02389453,0.041063856
24,0.032953635,0.024658892,0.04278031
25,0.03894256,0.029477688,0.050043747
26,0.04157654,0.031164547,0.053514555
27,0.0427848,0.03234387,0.054796956
29,0.048352323,0.036282353,0.06212345
30,0.052640334,0.040886555,0.06583596
31,0.056086924,0.04356068,0.07087001
32,0.06105953,0.047775894,0.07620003
34,0.06853983,0.054292526,0.08511985
36,0.07670747,0.06080136,0.094891205
37,0.07900932,0.062406927,0.098234765
38,0.08110531,0.06391373,0.10144138
40,0.08788029,0.069976114,0.10894682
44,0.093046255,0.07525609,0.11351993
45,0.09597324,0.077547476,0.11730816
46,0.10749827,0.08658895,0.13147336
47,0.11050073,0.08924889,0.1351633
48,0.113914356,0.09225029,0.13836981
49,0.12103896,0.09827804,0.14735992
53,0.12471454,0.101322375,0.15211399
55,0.1287936,0.10408841,0.15723309
57,0.13720891,0.10978939,0.1682136
58,0.14164677,0.1137409,0.1744821
60,0.1463381,0.116253935,0.1810086
61,0.15171865,0.12060572,0.18778129
68,0.15768602,0.124178916,0.19694223
69,0.17048419,0.13345435,0.21499386
83,0.17858285,0.14361635,0.22048904
94,0.19082962,0.15080605,0.24002117
96,0.20499058,0.15966402,0.26241812
105,0.22399403,0.16951188,0.29573622
122,0.26300433,0.18327425,0.39613128
